loan_amnt,term,int_rate,installment,grade,home_ownership,annual_inc,verification_status,loan_status,delinq_2yrs,pub_rec
5000, 36 months,9.91,161.13,B,MORTGAGE,101000,Not Verified,Fully Paid,0,0
3000, 36 months,12.6,100.64,B,RENT,105000,Verified,Fully Paid,0,0
11200, 36 months,14.2,384.26,C,MORTGAGE,50000,Not Verified,Fully Paid,0,0
4800, 36 months,7.9,150.2,A,RENT,60000,Not Verified,Fully Paid,0,0
6000, 36 months,12.4,200.5,B,RENT,37500,Verified,Fully Paid,0,0
3500, 36 months,9.91,112.79,B,RENT,39000,Not Verified,Fully Paid,0,0
13350, 60 months,17.2,333.73,D,OWN,55000,Source Verified,Fully Paid,0,0
15000, 36 months,11.7,496.14,B,RENT,33800,Not Verified,Fully Paid,0,0
20000, 60 months,12.6,451.9,B,RENT,40000,Verified,Fully Paid,0,0
25000, 36 months,7.9,782.26,A,OWN,84000,Source Verified,Fully Paid,0,0
5600, 36 months,6.03,170.44,A,RENT,49000,Not Verified,Fully Paid,0,0
25000, 60 months,17.2,624.95,D,RENT,50400,Verified,Fully Paid,0,0
16000, 36 months,13.4,542.89,C,MORTGAGE,50000,Source Verified,Fully Paid,0,0
24000, 36 months,7.51,746.66,A,MORTGAGE,75000,Verified,Fully Paid,0,0
14000, 60 months,13.4,322.07,C,MORTGAGE,67000,Source Verified,Fully Paid,0,0
2400, 36 months,17.2,85.89,D,RENT,13288,Source Verified,Fully Paid,0,0
11500, 36 months,7.51,357.78,A,RENT,57000,Source Verified,Fully Paid,0,0
2100, 36 months,14.6,72.44,C,RENT,60000,Verified,Fully Paid,0,1
6000, 36 months,7.9,187.75,A,MORTGAGE,75000,Verified,Fully Paid,0,0
14000, 60 months,13.4,322.07,C,OWN,65500,Source Verified,Fully Paid,0,0
12800, 60 months,13.4,294.47,C,RENT,45000,Not Verified,Fully Paid,0,0
8000, 36 months,7.51,248.89,A,RENT,42000,Not Verified,Charged Off,0,0
12400, 60 months,21.2,337.42,F,RENT,50000,Source Verified,Fully Paid,1,0
15000, 36 months,17.5,539.14,D,OWN,89000,Source Verified,Fully Paid,0,0
7200, 36 months,8.9,228.63,A,RENT,60000,Verified,Fully Paid,0,0
8000, 36 months,7.9,250.33,A,RENT,72000,Source Verified,Fully Paid,0,0
10000, 36 months,9.91,322.25,B,MORTGAGE,30000,Source Verified,Fully Paid,1,0
21200, 36 months,12.4,708.41,B,MORTGAGE,60000,Verified,Charged Off,0,0
9300, 60 months,14.2,217.7,C,MORTGAGE,75000,Source Verified,Fully Paid,0,0
21500, 60 months,19,558.08,E,RENT,43000,Verified,Charged Off,0,0
15000, 60 months,14.6,354.1,C,RENT,55000,Not Verified,Fully Paid,0,0
30000, 60 months,20.8,809.75,F,RENT,68000,Source Verified,Fully Paid,0,0
19125, 60 months,15.2,457.7,C,RENT,54000,Source Verified,Fully Paid,0,0
17000, 36 months,14.6,586.41,C,MORTGAGE,60000,Verified,Fully Paid,0,0
20000, 60 months,12.4,449.15,B,RENT,80000,Source Verified,Fully Paid,0,0
5000, 36 months,7.51,155.56,A,RENT,58000,Source Verified,Fully Paid,0,0
5000, 36 months,14.2,171.55,C,OWN,35000,Not Verified,Fully Paid,0,0
3800, 36 months,18.2,137.86,D,RENT,40000,Source Verified,Fully Paid,0,0
5000, 36 months,6.62,153.52,A,RENT,37513,Not Verified,Charged Off,0,0
29000, 60 months,17.5,729.8,D,MORTGAGE,58000,Verified,Fully Paid,0,0
12000, 36 months,10.6,390.88,B,MORTGAGE,75000,Not Verified,Fully Paid,0,0
14000, 60 months,17.5,352.32,D,MORTGAGE,1.00E+05,Verified,Fully Paid,0,0
23000, 36 months,13.4,780.41,C,RENT,80000,Verified,Fully Paid,0,0
14000, 36 months,12.6,469.63,B,RENT,62000,Not Verified,Fully Paid,0,0
5000, 36 months,11.7,165.38,B,RENT,26000,Source Verified,Fully Paid,0,0
2500, 36 months,13.4,84.83,C,MORTGAGE,54000,Source Verified,Fully Paid,0,0
12000, 36 months,11.7,396.92,B,RENT,46000,Source Verified,Fully Paid,0,0
5000, 36 months,6.03,152.18,A,MORTGAGE,36636,Verified,Fully Paid,0,0
19800, 60 months,11.7,437.55,B,MORTGAGE,96000,Not Verified,Fully Paid,0,0
22000, 60 months,18.2,561.66,D,MORTGAGE,75000,Verified,Fully Paid,0,0
15000, 36 months,13.4,508.96,C,RENT,45000,Source Verified,Fully Paid,0,0
7200, 36 months,13.4,244.3,C,MORTGAGE,114000,Source Verified,Charged Off,0,0
10000, 36 months,16.7,355.39,D,MORTGAGE,1.00E+05,Source Verified,Fully Paid,1,0
8000, 36 months,16.2,282.41,D,RENT,108000,Source Verified,Fully Paid,0,0
4800, 36 months,8.9,152.42,A,RENT,46000,Source Verified,Fully Paid,0,0
5000, 36 months,6.62,153.52,A,RENT,62000,Not Verified,Fully Paid,0,0
10000, 36 months,12.6,335.45,B,RENT,52000,Not Verified,Fully Paid,0,0
15000, 36 months,13.4,508.96,C,RENT,60000,Verified,Fully Paid,0,0
25000, 60 months,11.7,552.46,B,RENT,60000,Verified,Fully Paid,0,0
25000, 60 months,10.6,539.21,B,MORTGAGE,86923,Verified,Fully Paid,0,0
31000, 60 months,12.4,696.18,B,MORTGAGE,62400,Verified,Fully Paid,0,0
12000, 36 months,10.6,390.88,B,MORTGAGE,60000,Not Verified,Fully Paid,0,0
10000, 36 months,15.9,351.38,C,RENT,91000,Verified,Fully Paid,0,0
20000, 36 months,12.4,668.31,B,RENT,63000,Verified,Fully Paid,0,0
20000, 36 months,14.2,686.18,C,RENT,82000,Verified,Fully Paid,0,0
21000, 60 months,20.8,566.83,F,RENT,71040,Source Verified,Charged Off,0,0
8000, 36 months,6.03,243.49,A,OWN,31500,Verified,Fully Paid,0,0
15500, 36 months,14.6,534.66,C,MORTGAGE,63000,Source Verified,Fully Paid,0,0
5575, 36 months,6.62,171.18,A,RENT,28800,Not Verified,Fully Paid,0,0
30000, 60 months,12.4,673.72,B,RENT,68000,Verified,Fully Paid,0,0
10000, 36 months,14.2,343.09,C,MORTGAGE,60000,Verified,Charged Off,0,0
20000, 60 months,14.6,472.14,C,RENT,40000,Source Verified,Fully Paid,0,0
10000, 36 months,12.4,334.16,B,RENT,42000,Source Verified,Fully Paid,0,0
12000, 60 months,12.6,271.14,B,RENT,42000,Verified,Fully Paid,0,0
1450, 36 months,14.2,49.75,C,RENT,55560,Not Verified,Fully Paid,1,1
30000, 60 months,21.2,816.34,F,MORTGAGE,75000,Verified,Fully Paid,0,0
12900, 60 months,18.2,329.34,D,RENT,75000,Source Verified,Fully Paid,0,0
24000, 60 months,11.7,530.36,B,MORTGAGE,95000,Source Verified,Fully Paid,0,0
2000, 36 months,14.2,68.62,C,MORTGAGE,27600,Source Verified,Fully Paid,0,0
22000, 60 months,17.2,549.96,D,RENT,84000,Verified,Fully Paid,0,0
7000, 36 months,8.9,222.28,A,MORTGAGE,70000,Not Verified,Fully Paid,0,0
10000, 36 months,11.7,330.76,B,RENT,92000,Not Verified,Fully Paid,0,0
25000, 60 months,11.7,552.46,B,MORTGAGE,60000,Verified,Fully Paid,0,0
7750, 36 months,14.2,265.9,C,RENT,26400,Source Verified,Charged Off,0,0
20000, 60 months,15.2,478.64,C,MORTGAGE,90000,Verified,Fully Paid,0,0
29100, 60 months,18.6,749.12,E,MORTGAGE,152004,Verified,Fully Paid,0,0
12000, 36 months,8.9,381.04,A,RENT,30000,Not Verified,Fully Paid,0,0
10150, 36 months,7.51,315.78,A,RENT,102000,Not Verified,Fully Paid,0,0
3800, 36 months,13.4,128.94,C,RENT,47000,Source Verified,Fully Paid,0,0
10000, 36 months,6.03,304.36,A,MORTGAGE,55000,Not Verified,Fully Paid,0,0
7000, 36 months,11.7,231.54,B,RENT,57000,Source Verified,Fully Paid,0,0
15000, 36 months,6.03,456.54,A,MORTGAGE,80000,Source Verified,Fully Paid,0,0
10000, 36 months,13.4,339.31,C,RENT,150000,Not Verified,Fully Paid,0,0
22000, 60 months,11.7,486.16,B,RENT,50000,Verified,Fully Paid,0,0
18825, 60 months,22,520.57,F,RENT,50000,Verified,Charged Off,0,0
10000, 36 months,7.51,311.11,A,RENT,80000,Not Verified,Charged Off,0,0
20000, 60 months,17.2,499.96,D,RENT,65000,Verified,Fully Paid,0,0
8000, 36 months,14.6,275.96,C,RENT,87000,Not Verified,Fully Paid,0,0
12000, 36 months,12.4,400.99,B,RENT,88000,Source Verified,Fully Paid,1,0
20450, 60 months,18.6,526.45,E,RENT,52008,Verified,Charged Off,0,0
12000, 36 months,14.2,411.71,C,MORTGAGE,40000,Not Verified,Charged Off,0,0
7000, 60 months,12.4,157.21,B,MORTGAGE,56400,Verified,Fully Paid,0,0
24000, 60 months,12.6,542.28,B,MORTGAGE,103000,Verified,Fully Paid,0,0
24000, 60 months,17.5,603.98,D,RENT,125004,Verified,Fully Paid,0,0
7000, 36 months,10.6,228.02,B,RENT,36475,Not Verified,Charged Off,0,0
17500, 36 months,10.6,570.04,B,MORTGAGE,78413,Verified,Fully Paid,0,0
6400, 36 months,7.51,199.11,A,OWN,44000,Not Verified,Fully Paid,0,0
15000, 60 months,17.2,374.97,D,RENT,62000,Verified,Fully Paid,0,0
13000, 36 months,7.9,406.78,A,RENT,33000,Not Verified,Fully Paid,0,0
18000, 60 months,15.9,437.35,C,MORTGAGE,63000,Not Verified,Fully Paid,0,0
8000, 36 months,6.62,245.63,A,RENT,65000,Source Verified,Fully Paid,0,0
7800, 36 months,10.6,254.08,B,MORTGAGE,48000,Source Verified,Fully Paid,1,0
15000, 36 months,14.2,514.64,C,RENT,53000,Verified,Fully Paid,0,0
23600, 60 months,18.6,607.54,E,OWN,60000,Verified,Fully Paid,0,0
15000, 36 months,12.4,501.23,B,RENT,95000,Source Verified,Fully Paid,0,0
24000, 60 months,18.2,612.72,D,RENT,86779,Verified,Charged Off,0,0
23500, 60 months,12.6,530.98,B,RENT,48000,Verified,Fully Paid,0,0
35000, 60 months,21.6,960.11,F,MORTGAGE,83500,Verified,Fully Paid,0,0
2100, 36 months,17.2,75.16,D,RENT,44400,Source Verified,Fully Paid,0,0
16600, 60 months,15.9,403.33,C,RENT,40000,Not Verified,Fully Paid,0,0
18000, 60 months,15.9,437.35,C,RENT,102000,Source Verified,Fully Paid,0,0
16000, 36 months,14.2,548.95,C,OWN,60000,Not Verified,Fully Paid,0,0
12000, 36 months,12.4,400.99,B,MORTGAGE,37500,Source Verified,Fully Paid,0,0
18000, 60 months,19,467.23,E,MORTGAGE,75000,Source Verified,Charged Off,0,0
10800, 36 months,13.4,366.45,C,RENT,50000,Verified,Fully Paid,2,0
15000, 36 months,12.4,501.23,B,RENT,47840,Verified,Fully Paid,0,0
7100, 36 months,15.2,247.07,C,MORTGAGE,40000,Not Verified,Fully Paid,0,0
10000, 36 months,9.91,322.25,B,RENT,80000,Not Verified,Fully Paid,0,0
6000, 36 months,12.6,201.27,B,RENT,51000,Source Verified,Fully Paid,0,0
10400, 36 months,16.2,367.13,D,RENT,65000,Source Verified,Fully Paid,0,0
2000, 36 months,12.4,66.84,B,MORTGAGE,25056,Not Verified,Fully Paid,1,0
8000, 36 months,16.2,282.41,D,MORTGAGE,75000,Verified,Fully Paid,0,0
10000, 36 months,14.2,343.09,C,RENT,40000,Verified,Fully Paid,0,0
12000, 36 months,11.7,396.92,B,RENT,83000,Not Verified,Fully Paid,0,0
16000, 60 months,15.9,388.75,C,MORTGAGE,61000,Verified,Fully Paid,0,0
35000, 36 months,19,1283.5,E,RENT,2.00E+05,Source Verified,Fully Paid,0,0
4500, 36 months,6.62,138.17,A,RENT,42000,Not Verified,Fully Paid,0,0
12000, 60 months,19,311.49,E,RENT,80000,Verified,Fully Paid,0,0
20000, 36 months,7.9,625.81,A,MORTGAGE,120000,Verified,Fully Paid,0,0
10000, 36 months,10.6,325.74,B,RENT,45000,Source Verified,Fully Paid,0,0
20000, 60 months,19.4,523.45,E,MORTGAGE,48000,Verified,Fully Paid,0,1
28000, 60 months,20.8,755.77,F,RENT,80000,Verified,Fully Paid,0,0
4000, 36 months,10.6,130.3,B,MORTGAGE,90000,Not Verified,Fully Paid,0,0
12000, 36 months,6.03,365.23,A,RENT,75000,Not Verified,Fully Paid,0,0
12000, 36 months,16.7,426.47,D,RENT,98000,Verified,Fully Paid,0,0
20000, 36 months,13.4,678.61,C,MORTGAGE,118560,Verified,Fully Paid,0,0
8000, 36 months,7.9,250.33,A,RENT,72000,Not Verified,Fully Paid,0,0
35000, 60 months,18.6,901.01,E,RENT,140000,Verified,Fully Paid,0,0
20000, 36 months,11.7,661.52,B,MORTGAGE,120000,Verified,Fully Paid,0,0
20000, 36 months,12.4,668.31,B,RENT,77000,Verified,Fully Paid,0,0
3500, 36 months,7.9,109.52,A,MORTGAGE,60000,Not Verified,Fully Paid,0,0
5000, 36 months,13.4,169.66,C,OWN,36000,Source Verified,Charged Off,0,0
1300, 36 months,14.2,44.61,C,RENT,60000,Not Verified,Charged Off,0,0
7500, 36 months,15.2,260.99,C,RENT,45000,Source Verified,Fully Paid,0,0
7800, 36 months,8.9,247.68,A,MORTGAGE,117000,Source Verified,Fully Paid,0,0
6925, 36 months,11.7,229.06,B,RENT,25000,Source Verified,Fully Paid,0,0
12800, 36 months,13.4,434.31,C,OWN,80000,Not Verified,Fully Paid,1,0
15000, 36 months,15.2,521.97,C,RENT,48000,Not Verified,Charged Off,0,0
8000, 36 months,12.6,268.36,B,MORTGAGE,40800,Source Verified,Fully Paid,0,0
5375, 36 months,12.6,180.31,B,RENT,18000,Not Verified,Fully Paid,0,0
2500, 36 months,12.6,83.87,B,RENT,42500,Source Verified,Fully Paid,0,0
17625, 36 months,8.9,559.66,A,RENT,45000,Verified,Fully Paid,0,0
6000, 36 months,15.2,208.79,C,MORTGAGE,66000,Verified,Charged Off,0,0
7100, 36 months,12.4,237.25,B,OWN,24000,Not Verified,Fully Paid,0,0
20000, 60 months,16.7,494.59,D,RENT,110000,Verified,Charged Off,0,0
2800, 36 months,10.6,91.21,B,MORTGAGE,90000,Not Verified,Fully Paid,1,0
14000, 60 months,20.8,377.89,F,MORTGAGE,158000,Not Verified,Fully Paid,2,0
12000, 36 months,7.51,373.33,A,RENT,32000,Not Verified,Fully Paid,0,0
6625, 36 months,12.6,222.24,B,RENT,24947.3,Not Verified,Charged Off,0,0
14675, 36 months,12.6,492.28,B,MORTGAGE,40000,Source Verified,Fully Paid,0,0
15000, 36 months,11.7,496.14,B,RENT,74000,Verified,Fully Paid,0,0
12000, 36 months,7.9,375.49,A,RENT,70000,Source Verified,Fully Paid,0,0
13000, 36 months,8.9,412.8,A,RENT,44100,Not Verified,Fully Paid,0,0
12000, 36 months,10.6,390.88,B,RENT,55000,Not Verified,Fully Paid,0,0
10000, 36 months,16.2,353.01,D,RENT,35000,Source Verified,Fully Paid,0,0
11550, 36 months,16.7,410.47,D,RENT,83954,Not Verified,Fully Paid,0,0
6000, 36 months,8.9,190.52,A,OWN,1.00E+05,Source Verified,Fully Paid,0,0
35000, 60 months,18.6,901.01,E,MORTGAGE,248000,Verified,Fully Paid,0,0
9000, 36 months,16.7,319.85,D,RENT,160000,Not Verified,Fully Paid,2,0
12000, 60 months,14.6,283.28,C,RENT,35000,Not Verified,Fully Paid,0,0
28000, 36 months,7.9,876.13,A,MORTGAGE,82000,Verified,Fully Paid,0,0
17400, 60 months,14.6,410.76,C,MORTGAGE,43000,Source Verified,Charged Off,0,0
13000, 36 months,6.03,395.67,A,MORTGAGE,73000,Not Verified,Fully Paid,0,0
14000, 60 months,13.4,322.07,C,OWN,30000,Not Verified,Fully Paid,0,0
17000, 36 months,13.4,576.82,C,RENT,37000,Not Verified,Fully Paid,0,0
6000, 36 months,14.6,206.97,C,RENT,30000,Not Verified,Fully Paid,0,0
20000, 36 months,10.6,651.47,B,RENT,65000,Verified,Fully Paid,0,0
1100, 36 months,14.6,37.95,C,MORTGAGE,36000,Not Verified,Charged Off,0,0
10000, 36 months,7.9,312.91,A,RENT,75000,Source Verified,Fully Paid,0,0
7000, 36 months,9.91,225.58,B,RENT,54008,Verified,Fully Paid,0,0
14000, 36 months,10.6,456.03,B,MORTGAGE,85000,Source Verified,Fully Paid,0,0
5000, 36 months,6.62,153.52,A,MORTGAGE,54000,Not Verified,Fully Paid,0,0
8500, 36 months,6.62,260.99,A,MORTGAGE,84000,Source Verified,Fully Paid,0,0
19750, 60 months,16.7,488.4,D,MORTGAGE,66500,Verified,Fully Paid,0,0
21000, 36 months,10.6,684.04,B,MORTGAGE,53004,Verified,Fully Paid,0,0
15000, 60 months,18.6,386.15,E,OWN,50000,Verified,Charged Off,0,0
12000, 36 months,6.62,368.45,A,RENT,71151,Not Verified,Fully Paid,0,0
9000, 36 months,7.51,280,A,MORTGAGE,125000,Verified,Fully Paid,0,0
18000, 36 months,18.6,656.54,E,RENT,180000,Verified,Fully Paid,0,0
10000, 36 months,14.2,343.09,C,MORTGAGE,3.00E+05,Verified,Fully Paid,1,0
7000, 36 months,8.9,222.28,A,MORTGAGE,35000,Source Verified,Fully Paid,1,1
8000, 36 months,16.2,282.41,D,RENT,63000,Source Verified,Fully Paid,0,0
26000, 60 months,19,674.89,E,RENT,72000,Verified,Charged Off,0,0
28000, 60 months,10.6,603.92,B,RENT,64936,Source Verified,Fully Paid,0,0
35000, 60 months,13.4,805.17,C,RENT,98000,Verified,Charged Off,0,0
5500, 60 months,19.4,143.95,E,RENT,25000,Verified,Charged Off,0,0
14400, 60 months,14.6,339.94,C,MORTGAGE,105000,Source Verified,Fully Paid,0,0
10000, 36 months,10.6,325.74,B,RENT,44000,Source Verified,Fully Paid,0,0
28000, 36 months,16.7,995.08,D,OWN,76000,Verified,Charged Off,0,0
5000, 36 months,16.2,176.51,D,OWN,24000,Source Verified,Fully Paid,0,0
20000, 36 months,11.7,661.52,B,RENT,57000,Verified,Fully Paid,0,0
7000, 36 months,16.7,248.77,D,RENT,45000,Verified,Fully Paid,0,0
10000, 36 months,13.4,339.31,C,MORTGAGE,72000,Not Verified,Fully Paid,0,0
10000, 36 months,16.7,355.39,D,RENT,44000,Not Verified,Fully Paid,0,0
10000, 36 months,11.7,330.76,B,RENT,60000,Verified,Charged Off,0,0
20000, 36 months,10.6,651.47,B,RENT,65000,Verified,Fully Paid,0,0
6000, 36 months,12.6,201.27,B,RENT,65000,Source Verified,Fully Paid,0,0
16000, 36 months,17.2,572.6,D,RENT,65000,Not Verified,Fully Paid,1,0
3400, 36 months,9.91,109.57,B,MORTGAGE,125000,Verified,Fully Paid,0,0
6000, 36 months,13.4,203.59,C,MORTGAGE,22500,Not Verified,Fully Paid,0,0
7000, 36 months,7.9,219.04,A,MORTGAGE,47000,Not Verified,Charged Off,0,0
12000, 60 months,13.4,276.06,C,OWN,52000,Not Verified,Fully Paid,0,0
7875, 60 months,19.4,206.11,E,RENT,25000,Source Verified,Fully Paid,0,0
21000, 60 months,21.2,571.44,F,MORTGAGE,109992,Verified,Fully Paid,0,0
17000, 36 months,6.62,521.97,A,MORTGAGE,78301,Verified,Fully Paid,0,0
6000, 36 months,9.91,193.35,B,RENT,54516,Not Verified,Fully Paid,0,0
9500, 36 months,6.62,291.69,A,MORTGAGE,43000,Source Verified,Fully Paid,0,0
16000, 60 months,14.2,374.54,C,MORTGAGE,72000,Source Verified,Fully Paid,2,0
35000, 60 months,22.3,973.64,F,MORTGAGE,65000,Verified,Charged Off,0,0
1200, 36 months,18.2,43.54,D,RENT,20400,Verified,Charged Off,4,0
20000, 60 months,17.5,503.32,D,OWN,86124,Verified,Charged Off,0,0
5000, 36 months,14.2,171.55,C,RENT,24000,Source Verified,Charged Off,0,0
5400, 36 months,16.2,190.63,D,RENT,32000,Not Verified,Charged Off,0,0
12000, 60 months,19.9,317.33,E,RENT,36500,Verified,Charged Off,0,0
12775, 36 months,9.91,411.68,B,MORTGAGE,38000,Source Verified,Fully Paid,0,0
5000, 36 months,17.5,179.72,D,RENT,21600,Verified,Fully Paid,1,0
15000, 60 months,19.9,396.66,E,RENT,41500,Verified,Fully Paid,1,0
15600, 36 months,13.4,529.32,C,MORTGAGE,75000,Verified,Fully Paid,0,0
5050, 60 months,21.6,138.53,F,MORTGAGE,67517.64,Not Verified,Charged Off,0,0
12000, 60 months,18.2,306.36,D,RENT,34500,Source Verified,Fully Paid,0,0
24000, 60 months,18.6,617.83,E,MORTGAGE,120000,Verified,Fully Paid,1,0
25000, 60 months,12.4,561.44,B,MORTGAGE,54600,Verified,Fully Paid,0,0
12000, 36 months,16.2,423.61,D,MORTGAGE,72000,Not Verified,Fully Paid,1,0
10000, 36 months,12.6,335.45,B,RENT,70000,Not Verified,Fully Paid,0,0
2400, 36 months,9.91,77.34,B,RENT,46000,Not Verified,Fully Paid,0,0
5825, 36 months,14.2,199.85,C,RENT,25000,Verified,Fully Paid,0,0
20000, 36 months,11.7,661.52,B,RENT,65000,Verified,Fully Paid,0,0
16000, 36 months,11.7,529.22,B,RENT,47000,Source Verified,Fully Paid,0,0
1500, 36 months,9.91,48.34,B,MORTGAGE,25632,Not Verified,Fully Paid,0,0
12500, 36 months,10.6,407.17,B,MORTGAGE,50000,Source Verified,Fully Paid,0,0
12000, 60 months,8.9,248.52,A,MORTGAGE,70000,Not Verified,Charged Off,0,0
6000, 36 months,6.03,182.62,A,MORTGAGE,30000,Source Verified,Fully Paid,0,0
3500, 36 months,8.9,111.14,A,MORTGAGE,47500,Not Verified,Fully Paid,3,0
4000, 36 months,16.7,142.16,D,MORTGAGE,45000,Not Verified,Fully Paid,0,0
12100, 60 months,17.2,302.48,D,RENT,50000,Source Verified,Fully Paid,0,0
20000, 60 months,14.2,468.17,C,MORTGAGE,60000,Verified,Charged Off,0,0
8500, 36 months,7.9,265.97,A,MORTGAGE,25000,Verified,Fully Paid,0,0
15000, 36 months,12.4,501.23,B,MORTGAGE,90000,Not Verified,Fully Paid,2,0
15600, 36 months,7.9,488.13,A,MORTGAGE,43000,Verified,Fully Paid,0,0
10000, 36 months,12.4,334.16,B,MORTGAGE,65000,Source Verified,Fully Paid,0,0
2400, 36 months,12.4,80.2,B,MORTGAGE,78000,Not Verified,Fully Paid,1,0
12000, 60 months,7.9,242.75,A,MORTGAGE,102000,Not Verified,Fully Paid,0,0
19000, 60 months,20.3,506.57,E,MORTGAGE,60000,Source Verified,Charged Off,0,0
8000, 60 months,14.2,187.27,C,RENT,40000,Source Verified,Fully Paid,2,0
10000, 36 months,15.9,351.38,C,RENT,51000,Not Verified,Charged Off,0,0
9000, 36 months,6.62,276.34,A,MORTGAGE,125000,Not Verified,Fully Paid,0,0
26375, 60 months,17.5,663.75,D,MORTGAGE,158000,Verified,Fully Paid,0,0
10000, 36 months,13.4,339.31,C,OWN,72000,Verified,Fully Paid,0,0
10000, 36 months,11.7,330.76,B,RENT,21000,Source Verified,Fully Paid,0,0
12600, 60 months,20.3,335.93,E,MORTGAGE,65000,Source Verified,Charged Off,0,0
6000, 36 months,10.6,195.44,B,MORTGAGE,110000,Source Verified,Fully Paid,1,0
12800, 36 months,12.4,427.72,B,RENT,56000,Verified,Fully Paid,0,0
13000, 60 months,15.9,315.86,C,MORTGAGE,135800,Source Verified,Fully Paid,0,0
8000, 36 months,7.9,250.33,A,RENT,72000,Not Verified,Fully Paid,0,0
6975, 36 months,9.91,224.77,B,MORTGAGE,102000,Source Verified,Fully Paid,1,0
13000, 36 months,7.9,406.78,A,OWN,53100,Verified,Fully Paid,0,0
12000, 60 months,16.7,296.75,D,MORTGAGE,65000,Verified,Fully Paid,0,0
5000, 36 months,6.62,153.52,A,RENT,80000,Not Verified,Fully Paid,1,0
17000, 36 months,11.7,562.3,B,MORTGAGE,101000,Verified,Fully Paid,0,0
12800, 36 months,12.4,427.72,B,RENT,38000,Not Verified,Charged Off,0,0
1600, 36 months,8.9,50.81,A,RENT,67171,Not Verified,Fully Paid,0,0
1200, 36 months,10.6,39.09,B,MORTGAGE,30000,Not Verified,Fully Paid,0,0
26300, 60 months,23.1,743.38,G,MORTGAGE,65000,Source Verified,Charged Off,0,0
18800, 60 months,20.8,507.45,F,RENT,56791,Not Verified,Charged Off,1,0
12000, 36 months,11.7,396.92,B,MORTGAGE,36000,Source Verified,Fully Paid,0,0
28000, 36 months,7.9,876.13,A,RENT,111000,Verified,Fully Paid,0,0
3125, 60 months,21.6,85.73,F,OWN,9960,Not Verified,Fully Paid,0,0
20000, 36 months,12.6,670.9,B,OWN,110000,Verified,Fully Paid,0,0
20000, 60 months,12.6,451.9,B,MORTGAGE,72000,Verified,Fully Paid,0,0
5000, 36 months,9.91,161.13,B,RENT,53000,Source Verified,Fully Paid,0,0
19000, 36 months,13.4,644.68,C,MORTGAGE,115000,Source Verified,Fully Paid,0,0
35000, 36 months,9.91,1127.88,B,OWN,73440,Verified,Fully Paid,0,0
8000, 36 months,9.91,257.8,B,RENT,47000,Not Verified,Charged Off,0,0
7200, 36 months,17.5,258.79,D,RENT,40000,Not Verified,Fully Paid,0,0
2400, 36 months,9.91,77.34,B,RENT,45000,Not Verified,Fully Paid,0,0
25000, 60 months,19,648.93,E,MORTGAGE,87000,Verified,Charged Off,0,0
24250, 36 months,19,889.28,E,OWN,55000,Verified,Fully Paid,0,0
12000, 36 months,10.6,390.88,B,RENT,36400,Not Verified,Fully Paid,0,0
15000, 60 months,15.9,364.46,C,MORTGAGE,90000,Not Verified,Fully Paid,0,0
19200, 60 months,18.2,490.17,D,RENT,45000,Verified,Fully Paid,0,0
9500, 36 months,11.7,314.23,B,MORTGAGE,80000,Not Verified,Fully Paid,0,0
20000, 60 months,15.9,485.94,C,RENT,45000,Verified,Fully Paid,0,0
9000, 36 months,12.6,301.91,B,RENT,45000,Not Verified,Fully Paid,0,0
16000, 36 months,7.9,500.65,A,MORTGAGE,68000,Verified,Fully Paid,1,0
19600, 36 months,9.91,631.61,B,MORTGAGE,60000,Verified,Fully Paid,0,0
18800, 60 months,13.4,432.49,C,MORTGAGE,58000,Verified,Fully Paid,0,0
10000, 36 months,14.2,343.09,C,MORTGAGE,75000,Source Verified,Fully Paid,2,0
20000, 60 months,18.2,510.6,D,MORTGAGE,51400,Verified,Charged Off,0,0
9750, 36 months,17.2,348.93,D,RENT,21600,Source Verified,Charged Off,1,1
35000, 60 months,22,967.86,F,RENT,90000,Verified,Fully Paid,0,0
20000, 36 months,7.9,625.81,A,MORTGAGE,63000,Verified,Fully Paid,0,0
12000, 36 months,14.2,411.71,C,RENT,72000,Not Verified,Fully Paid,1,0
8000, 36 months,12.4,267.33,B,RENT,50000,Not Verified,Fully Paid,0,0
28000, 60 months,12.6,632.66,B,MORTGAGE,67000,Verified,Fully Paid,0,0
6000, 36 months,14.2,205.86,C,RENT,93000,Not Verified,Fully Paid,0,0
16000, 36 months,6.03,486.97,A,MORTGAGE,109000,Source Verified,Fully Paid,0,0
19600, 36 months,9.91,631.61,B,RENT,45000,Not Verified,Fully Paid,0,0
11500, 36 months,7.9,359.84,A,MORTGAGE,55000,Source Verified,Fully Paid,0,0
3000, 36 months,12.4,100.25,B,RENT,28800,Not Verified,Fully Paid,0,0
5000, 36 months,7.9,156.46,A,RENT,53000,Not Verified,Fully Paid,0,0
7000, 36 months,12.4,233.91,B,MORTGAGE,54000,Not Verified,Charged Off,0,0
23325, 36 months,15.2,811.66,C,MORTGAGE,65000,Verified,Fully Paid,0,0
22200, 36 months,12.6,744.7,B,RENT,225000,Source Verified,Fully Paid,0,0
14675, 60 months,17.2,366.85,D,RENT,34500,Verified,Fully Paid,0,0
14400, 60 months,12.6,325.37,B,RENT,75000,Verified,Charged Off,0,0
28000, 60 months,11.7,618.75,B,MORTGAGE,75000,Source Verified,Fully Paid,0,0
